button_character_skill,预设技能,Default Skills,デフォルトスキル,Standardfähigkeiten,Compétences par défaut,Habilidades predeterminadas,Навыки по умолчанию,ทักษะเริ่มต้น,기본 스킬,المهارات الافتراضية,Abilità predefinite,Habilidades padrão
button_character_skilltree,技能树,Skill Trees,スキルツリー,Fähigkeitsbaum,Arbres de compétences,Árboles de habilidades,Деревья навыков,ต้นไม้ทักษะ,기술 트리,أشجار المهارات,Alberi delle abilità,Árvores de habilidades
button_character_stand,站姿,Stand,スタンド,Stehen,Debout,De pie,Стойка,ยืน,서 있다,الوقوف,Stand,Em pé
button_character_system,参数设置,System Properties,システムプロパティ,Eigenschaften des Systems,Propriétés du système,Propiedades del sistema,Свойства системы,คุณสมบัติของระบบ,시스템 속성,خصائص النظام,Proprietà di sistema,Propriedades do sistema
button_character_wait,等待,Wait,待機,Warten,Attendre,Esperar,Ждать,รอ,대기,انتظر,Aspetta,Espera
button_character_walk,行走,Walk,歩行,Gehen,Marcher,Caminar,Ходьба,เดิน,걷기,امش,Andare a piedi,Caminhar
button_chest,选择宝箱,Chest,チェスト,Kiste,Coffre,Cofre,Сундук,หีบ,상자,صدر,Scatola,Caixa
button_chest_edit,编辑,Edit,編集,Bearbeiten,Éditer,Editar,редактировать,แก้ไข,편집,تحرير,Modifica,Editar
button_chest_new,新宝箱,New,新しい,Neu,Nouveau,Nuevo,новый,ใหม่,새로운,جديد,Novo,Novo
button_choose,选择,Choose,選ぶ,Wählen,Choisir,Elegir,выбирать,เลือก,선택하다,اختر,Scegli,Escolher
button_choose_image,选择图像,Choose Image,画像を選択,Wählen Sie ein Bild,Choisir une image,Elegir imagen,выберите изображение,เลือกรูปภาพ,이미지 선택,اختيار الصورة,Scegli immagine,Escolher imagem
button_choose_sprite,选择精灵,Select Sprite,スプライトを選択,Sprite auswählen,Sélectionner un sprite,Seleccionar sprite,выбрать спрайт,เลือกสไปรต์,스프라이트 선택,اختيار الرسوم المتحركة,Seleziona sprite,Selecionar sprite
button_clear,清除,Clear,クリア,Löschen,effacer,Claro,очистить,ล้าง,지우기,مسح,Pulisci,Limpar
button_close,关闭,Close,閉じる,Schließen,Fermer,Cerrar,закрыть,ปิด,닫기,إغلاق,Chiudi,Fechar
button_confirm,确认,Confirm,確認,Bestätigen,Confirmer,Confirmar,Подтвердить,ยืนยัน,확인,تأكيد,Conferma,Confirmar
button_confirmcoordinates,确认坐标,Confirm Coordinates,座標を確認,Koordinaten bestätigen,Confirmer les coordonnées,Confirmar coordenadas,Подтвердить координаты,ยืนยันพิกัด,좌표 확인,تأكيد الإحداثيات,Conferma coordinate,Confirmar coordenadas
button_current,当前,Current,現在,Aktuell,Actuel,Actual,Текущий,ปัจจุบัน,현재,الحالي,Attuale,Atual
button_custom,自定义,Custom,カスタム,Benutzerdefiniert,Personnalisé,Personalizado,Пользовательский,กำหนดเอง,사용자 정의,مخصص,Personalizzato,Personalizado
button_custom_background,地图背景,Map Background,カスタム背景,Benutzerdefinierten Hintergrund,Fond de carte personnalisé,Fondo de mapa personalizado,Пользовательский фон карты,ฉากหลังแผนที่กำหนดเอง,사용자 정의 지도 배경,خلفية الخريطة المخصصة,Sfondo della mappa personalizzato,Fundo de mapa personalizado
button_custom_character,角色选择,Character Selection,キャラクター選択,Charakterauswahl,Sélection de personnage,Selección de personaje,Выбор персонажа,เลือกตัวละคร,캐릭터 선택,اختيار الشخصية,Selezione personaggio,Seleção de personagem
button_custom_icon,图标,Icons,アイコン,Symbole,Icônes,Iconos,Значки,ไอคอน,아이콘,أيقونات,Icone,Ícones
button_custom_image,图像,Images,イメージ,Bilder,Images,Imágenes,Изображения,รูปภาพ,이미지,صور,Immagini,Imagens
button_custom_map,地图物体,Map Objects,マップオブジェクト,Kartenobjekte,Objets de carte,Objetos de mapa,Объекты карты,อ็อบเจ็กต์แผนที่,맵 오브젝트,أجسام الخريطة,Oggetti mappa,Objetos de mapa
button_custom_music,音乐,Music,音楽,Musik,Musique,Música,Музыка,เพลง,음악,موسيقى,Musica,Música
button_custom_property,角色自定义属性,Custom Properties,カスタムプロパティ,Benutzerdefinierte Eigenschaften,Propriétés personnalisées,Propiedades personalizadas,Пользовательские свойства,คุณสมบัติที่กำหนดเอง,사용자 지정 속성,الخصائص المخصصة,Proprietà personalizzate,Propriedades Personalizadas
button_custom_sound,音效,Sound Effect,サウンドエフェクト,Soundeffekt,Effet sonore,Efecto de sonido,Звуковой эффект,เอฟเฟ็กต์เสียง,사운드 이펙트,تأثير الصوت,Effetto sonoro,Efeito de som
button_custom_speech,配音,Dubbing,吹き替え,Synchronisation,Doublage,Doblaje,Дубляж,การพากย์เสียง,더빙,التدبيل الصوتي,Doppiaggio,Dobragem
button_custom_variable,全局变量,Variables,変数,Variablen,Variables,Variables,Переменные,ตัวแปร,변수,المتغيرات العامة,Variabili,Variáveis
button_custom_video,视频,Video,ビデオ,Video,Vidéo,Video,Видео,วิดีโอ,비디오,فيديو,Video,Vídeo
button_debug_point,调试点,Debug Point,デバッグポイント,Debugpunkt,Point de débogage,Punto de depuración,Точка отладки,จุด Debug,디버그 포인트,نقطة تصحيح,Debug Point,Ponto de Depuração
button_default,恢复默认,Default,デフォルトに戻す,Zurücksetzen,Par défaut,Restablecer predeterminado,Сбросить в значения по умолчанию,คืนค่าเริ่มต้น,기본값 복원,استعادة الافتراضي,Predefinito,Padrão
button_default_font,默认字体,Default Font,デフォルトフォント,Standard Schriftart,Police par défaut,Fuente predeterminada,Шрифт по умолчанию,แบบอักษรเริ่มต้น,기본 글꼴,الخط الافتراضي,Carattere predefinito,Fonte Padrão
button_delete,删除,Delete,削除,Löschen,Supprimer,Borrar,Удалить,ลบ,삭제,حذف,Elimina,Excluir
button_deleteverify,删除前询问,Verification before delete,削除前の確認,Überprüfung vor dem Löschen,Vérification avant suppression,Verificación antes de borrar,Подтверждение перед удалением,ยืนยันก่อนลบ,삭제 전 확인,التحقق قبل الحذف,Verifica prima dell'eliminazione,Verificação antes da exclusão
button_demo,演示,Demonstration,デモンストレーション,Präsentation,Démonstration,Presentación,Демонстрация,การสาธิต,데모,عرض,Dimostrazione,Apresentação
button_developer_create_android,创建游戏包(安卓),Create Game Package (Android),ゲームパッケージの作成(Android),Spiel-Paket erstellen (Android),Créer un package de jeu (Android),Crear paquete de juego (Android),Создать пакет игры (Android),สร้างแพ็คเกจเกม (Android),게임 패키지 생성 (Android),إنشاء حزمة اللعبة (Android),Creare il pacchetto del gioco (Android),Criar Pacote de Jogo (Android)
button_developer_create_x86,创建游戏包(X86),Create Game Package (X86),ゲームパッケージの作成(X86),Spiel-Paket erstellen (X86),Créer un package de jeu (X86),Crear paquete de juego (X86),Создать пакет игры (X86),สร้างแพ็คเกจเกม (X86),게임 패키지 생성 (X86),إنشاء حزمة اللعبة (X86),Creare il pacchetto del gioco (X86),Criar Pacote de Jogo (X86)
button_developer_export_animation_custom,导出动画,Export Animation,アニメーションのエクスポート,Animation exportieren,Exporter l'animation,Exportar animación,Экспорт анимации,ส่งออกแอนิเมชัน,애니메이션 내보내기,تصدير الرسوم المتحركة,Esporta animazione,Exportar Animação
button_developer_export_animation_preset,导出预设动画,Export Preset Animation,プリセットアニメーションのエクスポート,Preset-Animation exportieren,Exporter l'animation prédéfinie,Exportar animación predefinida,Экспорт предустановленной анимации,ส่งออกแอนิเมชันก่อนหน้า,사전 설정된 애니메이션 내보내기,تصدير الرسوم المتحركة المسبقة الضبط,Esporta animazione predefinita,Exportar Animação Padrão
button_developer_export_common,生成主体包,Export Common Pack,共通パックをエクスポート,Allgemeines Paket exportieren,Exporter le pack commun,Exportar paquete común,Экспорт общего пакета,ส่งออกแพ็กคร่อม,공통 팩 내보내기,تصدير الحزمة الشائعة,Exportar Pacote Comum,Criar o pacote principal
button_developer_export_gameplayer,生成合成包,Import Game Player Pack,合成パックをエクスポート,Import Game Player Pack,Importer le pack de joueur de jeu,Importar paquete de jugador de juego,Импорт пакета игрока,นำเข้าแพ็คผู้เล่นเกม,게임 플레이어 팩 가져 오기,استيراد حزمة لاعب اللعبة,Importar Pacote de Jogador de Jogo,Gerar um pacote de composição
button_developer_export_lang,导出语言包,Export Language Pack,言語パックをエクスポート,Export Language Pack,Exporter le pack de langue,Exportar paquete de idioma,Экспорт языкового пакета,ส่งออกแพคภาษา,언어 팩 내보내기,تصدير حزمة اللغة,Exportar Pacote de Idioma,Exportar o pacote de idiomas
button_developer_export_preload,生成预载包,Export Preload Pack,プリロードパックをエクスポート,Preload Pack exportieren,Exporter le pack de préchargement,Exportar paquete de precarga,Экспорт пакета предзагрузки,ส่งออกแพคการโหลดล่วงหน้า,사전 로드 팩 내보내기,تصدير حزمة التحميل المسبق,Exportar Pacote de Pré-carregamento,Gerar o pacote pré-carregado
button_developer_import_common,导入主体包,Import Common Pack,コモンパックをインポート,Allgemeines Pack importieren,Importer le pack commun,Importar paquete común,Импорт общего пакета,นำเข้าแพคคอมมอน,공통 팩 가져오기,استيراد حزمة مشتركة,Importar Pacote Comum,Importar o pacote do corpo
